binary,run,n,m,threads,time_ms
05,1,10000,132877,16,134.1
07,1,10000,132877,16,834.3
08,1,10000,132877,16,113.1
09,1,10000,132877,16,203.4
05,1,20000,285754,16,731.5
07,1,20000,285754,16,1360.3
08,1,20000,285754,16,198.8
09,1,20000,285754,16,428.5
05,1,30000,446180,16,1868.6
07,1,30000,446180,16,1857.5
08,1,30000,446180,16,289.0
09,1,30000,446180,16,656.5
05,1,40000,611508,16,3793.7
07,1,40000,611508,16,2449.8
08,1,40000,611508,16,398.6
09,1,40000,611508,16,898.3
05,1,50000,780482,16,10480.7
07,1,50000,780482,16,4882.1
08,1,50000,780482,16,576.4
09,1,50000,780482,16,1187.9
05,1,60000,952360,16,16697.9
07,1,60000,952360,16,5520.6
08,1,60000,952360,16,679.6
09,1,60000,952360,16,1422.9
05,1,70000,1126654,16,25027.9
07,1,70000,1126654,16,6306.3
08,1,70000,1126654,16,781.0
09,1,70000,1126654,16,1713.4
05,1,80000,1303016,16,35676.1
07,1,80000,1303016,16,7450.4
08,1,80000,1303016,16,861.6
09,1,80000,1303016,16,1911.0
05,1,90000,1481187,16,48580.0
07,1,90000,1481187,16,8409.4
08,1,90000,1481187,16,986.9
09,1,90000,1481187,16,2154.5
05,1,100000,1660964,16,64424.0
07,1,100000,1660964,16,9297.7
08,1,100000,1660964,16,1072.5
09,1,100000,1660964,16,2406.2
