binary,run,n,m,multiplier,threads,time_ms
05,1,50000,780482,1,16,9735.5
07,1,50000,780482,1,16,4816.4
08,1,50000,780482,1,16,559.5
09,1,50000,780482,1,16,1172.6
05,1,50000,1560964,2,16,15370.7
07,1,50000,1560964,2,16,7592.0
08,1,50000,1560964,2,16,961.4
09,1,50000,1560964,2,16,1985.3
05,1,50000,2341446,3,16,17722.0
07,1,50000,2341446,3,16,10507.2
08,1,50000,2341446,3,16,1347.2
09,1,50000,2341446,3,16,2795.4
05,1,50000,3121928,4,16,18681.1
07,1,50000,3121928,4,16,13600.7
08,1,50000,3121928,4,16,1632.8
09,1,50000,3121928,4,16,2956.7
05,1,50000,3902410,5,16,21545.8
07,1,50000,3902410,5,16,16988.5
08,1,50000,3902410,5,16,1968.0
09,1,50000,3902410,5,16,3574.5
05,1,50000,4682892,6,16,24768.0
07,1,50000,4682892,6,16,19833.6
08,1,50000,4682892,6,16,2341.2
09,1,50000,4682892,6,16,4246.0
05,1,50000,5463374,7,16,29596.6
07,1,50000,5463374,7,16,2669.0
08,1,50000,5463374,7,16,369.7
09,1,50000,5463374,7,16,723.8
05,1,50000,6243856,8,16,32172.1
07,1,50000,6243856,8,16,25846.5
08,1,50000,6243856,8,16,3068.4
09,1,50000,6243856,8,16,5570.4
05,1,50000,7024338,9,16,34789.4
07,1,50000,7024338,9,16,29803.9
08,1,50000,7024338,9,16,3451.6
09,1,50000,7024338,9,16,6246.2
05,1,50000,7804820,10,16,43431.1
07,1,50000,7804820,10,16,33151.0
08,1,50000,7804820,10,16,
09,1,50000,7804820,10,16,
